attribute_x,attribute_y,n,correlation,p_value,label_x,label_y,label_text
paragraph_formality,paragraph_formality,23412,1,0,paragraph_formality,paragraph_formality,1.00
paragraph_formality,paragraph_clarity,23412,0.45077404810664595,0,paragraph_formality,paragraph_clarity,0.45
paragraph_formality,paragraph_informativeness,23412,0.6581840680523053,0,paragraph_formality,paragraph_informativeness,0.66
paragraph_formality,paragraph_originality,23412,0.4444628876801391,0,paragraph_formality,paragraph_originality,0.44
paragraph_formality,paragraph_relevance,23412,0.42894739162632967,0,paragraph_formality,paragraph_relevance,0.43
paragraph_formality,writer_knowledge,23412,0.5890630636750991,0,paragraph_formality,writer_knowledge,0.59
paragraph_formality,writer_importance,23412,0.40838613770401294,0,paragraph_formality,writer_importance,0.41
paragraph_formality,writer_confidence,23412,0.38023725408532333,0,paragraph_formality,writer_confidence,0.38
paragraph_formality,writer_stance_polarity,23412,0.17528646893445132,6.813266183550762e-161,paragraph_formality,writer_stance_polarity,0.18
paragraph_formality,paragraph_hope,23412,0.2565250091139964,0,paragraph_formality,paragraph_hope,0.26
paragraph_formality,paragraph_excitement,23412,0.1544912373010204,5.33997385198293e-125,paragraph_formality,paragraph_excitement,0.15
paragraph_formality,paragraph_fear,23412,0.05553591947925429,1.8372218624469915e-17,paragraph_formality,paragraph_fear,0.06
paragraph_formality,paragraph_disgust,23412,-0.021397961627472647,0.0010592486060603224,paragraph_formality,paragraph_disgust,
paragraph_formality,paragraph_anger,23412,-0.010114507147403341,0.1217244851021877,paragraph_formality,paragraph_anger,
paragraph_formality,writer_affect_x,23412,0.08783348528436506,2.5235937695296627e-41,paragraph_formality,writer_affect_x,0.09
paragraph_formality,writer_affect_y,23412,-0.12736772171340421,2.943842002527914e-85,paragraph_formality,writer_affect_y,-0.13
paragraph_formality,writer_optimism,23412,0.28308185291352983,0,paragraph_formality,writer_optimism,0.28
paragraph_formality,writer_community,23412,0.2800186287190192,0,paragraph_formality,writer_community,0.28
paragraph_formality,writer_friendliness,23412,0.17507142025451267,1.6944065873293506e-160,paragraph_formality,writer_friendliness,0.18
paragraph_formality,writer_openness,23412,-0.037069622086243335,1.3977624902664075e-8,paragraph_formality,writer_openness,-0.04
paragraph_clarity,paragraph_formality,23412,0.45077404810664595,0,paragraph_clarity,paragraph_formality,0.45
paragraph_clarity,paragraph_clarity,23412,1,0,paragraph_clarity,paragraph_clarity,1.00
paragraph_clarity,paragraph_informativeness,23412,0.48910638496966335,0,paragraph_clarity,paragraph_informativeness,0.49
paragraph_clarity,paragraph_originality,23412,0.26180584643165467,0,paragraph_clarity,paragraph_originality,0.26
paragraph_clarity,paragraph_relevance,23412,0.6414388194634894,0,paragraph_clarity,paragraph_relevance,0.64
paragraph_clarity,writer_knowledge,23412,0.5951804675808585,0,paragraph_clarity,writer_knowledge,0.60
paragraph_clarity,writer_importance,23412,0.6146834990601814,0,paragraph_clarity,writer_importance,0.61
paragraph_clarity,writer_confidence,23412,0.6978399204884724,0,paragraph_clarity,writer_confidence,0.70
paragraph_clarity,writer_stance_polarity,23412,0.5389879812010464,0,paragraph_clarity,writer_stance_polarity,0.54
paragraph_clarity,paragraph_hope,23412,0.17123473748600104,1.590638166218762e-153,paragraph_clarity,paragraph_hope,0.17
