model,random_effects,term,estimate,conf.low,conf.high,statistic,p,p_bonferroni,significant_bonferroni
exploratory_writer_knowledge,(1 | reader_id) + (1 | proposition_id),(Intercept),-1.9258172433994478,-2.8201493326780724,-1.031485154120823,-4.220504310556151,2.4375639583731066e-5,NA,FALSE
exploratory_writer_knowledge,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.35957342135789466,-0.8028392145812208,0.08369237186543144,-1.5899060257606012,0.11185598920570723,NA,FALSE
exploratory_writer_knowledge,(1 | reader_id) + (1 | proposition_id),writer_knowledge,0.08972397964952497,0.07661557878024865,0.1028323805188013,13.415501281689297,4.906045055284022e-41,9.812090110568043e-40,TRUE
exploratory_writer_importance,(1 | reader_id) + (1 | proposition_id),(Intercept),-2.7508108633277297,-3.8023521765342547,-1.6992695501212047,-5.127226246549745,2.9404208163662423e-7,NA,FALSE
exploratory_writer_importance,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,0.22077955052510811,-0.18449489760809845,0.6260539986583147,1.067720823618087,0.28564646236152286,NA,FALSE
exploratory_writer_importance,(1 | reader_id) + (1 | proposition_id),writer_importance,0.0892163894187115,0.07526881169558206,0.10316396714184095,12.53700918987537,4.683394478046709e-36,9.366788956093417e-35,TRUE
exploratory_writer_confidence,(1 | reader_id) + (1 | proposition_id),(Intercept),-4.80714673561484,-5.90464158826803,-3.7096518829616496,-8.58485527055286,9.095085647096299e-18,NA,FALSE
exploratory_writer_confidence,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.10172589173457275,-0.5059837575220102,0.3025319740528647,-0.4931977852963254,0.6218728426015976,NA,FALSE
exploratory_writer_confidence,(1 | reader_id) + (1 | proposition_id),writer_confidence,0.11276304716154152,0.09896017180930852,0.12656592251377452,16.01199066018212,1.0538346489654368e-57,2.1076692979308733e-56,TRUE
exploratory_writer_stance_polarity,(1 | reader_id) + (1 | proposition_id),(Intercept),-2.5409356754596746,-3.3639707914406807,-1.7179005594786685,-6.050947662175871,1.4399622869325156e-9,NA,FALSE
exploratory_writer_stance_polarity,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,0.3376234522531275,-0.038280072835257806,0.7135269773415128,1.7603713787909208,0.07834485886568199,NA,FALSE
exploratory_writer_stance_polarity,(1 | reader_id) + (1 | proposition_id),writer_stance_polarity,0.08885118176376684,0.07952544988601912,0.09817691364151457,18.6736138807867,8.116988602797375e-78,1.623397720559475e-76,TRUE
exploratory_paragraph_formality,(1 | reader_id) + (1 | proposition_id),(Intercept),-0.6620361539525291,-1.4682899824925015,0.1442176745874434,-1.6093778066891256,0.10753375507351579,NA,FALSE
