attribute_x,attribute_y,n,correlation,p_value,label_x,label_y,label_text
paragraph_formality,paragraph_formality,19102,1,0,paragraph_formality,paragraph_formality,1.00
paragraph_formality,paragraph_clarity,19102,0.4605502445401189,0,paragraph_formality,paragraph_clarity,0.46
paragraph_formality,paragraph_informativeness,19102,0.6638524180321997,0,paragraph_formality,paragraph_informativeness,0.66
paragraph_formality,paragraph_originality,19102,0.44868177141346405,0,paragraph_formality,paragraph_originality,0.45
paragraph_formality,paragraph_relevance,19102,0.4356071011602754,0,paragraph_formality,paragraph_relevance,0.44
paragraph_formality,writer_knowledge,19102,0.5976806937611396,0,paragraph_formality,writer_knowledge,0.60
paragraph_formality,writer_importance,19102,0.4163706206567479,0,paragraph_formality,writer_importance,0.42
paragraph_formality,writer_confidence,19102,0.3877763683095471,0,paragraph_formality,writer_confidence,0.39
paragraph_formality,writer_stance_polarity,19102,0.1764486789083131,2.147809652407341e-133,paragraph_formality,writer_stance_polarity,0.18
paragraph_formality,paragraph_hope,19102,0.2591708180442603,9.196049843017266e-291,paragraph_formality,paragraph_hope,0.26
paragraph_formality,paragraph_excitement,19102,0.15650561959651552,5.15137251774438e-105,paragraph_formality,paragraph_excitement,0.16
paragraph_formality,paragraph_fear,19102,0.0530834512319405,2.114359966935631e-13,paragraph_formality,paragraph_fear,0.05
paragraph_formality,paragraph_disgust,19102,-0.023500199589474552,0.0011613833036416329,paragraph_formality,paragraph_disgust,
paragraph_formality,paragraph_anger,19102,-0.010967424142431046,0.12958158891969107,paragraph_formality,paragraph_anger,
paragraph_formality,writer_affect_x,19102,0.09034270983657793,6.49706290231184e-36,paragraph_formality,writer_affect_x,0.09
paragraph_formality,writer_affect_y,19102,-0.1296549098052223,2.1543356516717352e-72,paragraph_formality,writer_affect_y,-0.13
paragraph_formality,writer_optimism,19102,0.28494115369184253,0,paragraph_formality,writer_optimism,0.28
paragraph_formality,writer_community,19102,0.2797887732096087,0,paragraph_formality,writer_community,0.28
paragraph_formality,writer_friendliness,19102,0.17704648282923358,2.6657103216807405e-134,paragraph_formality,writer_friendliness,0.18
paragraph_formality,writer_openness,19102,-0.039055619464375906,6.679585378751458e-8,paragraph_formality,writer_openness,-0.04
paragraph_clarity,paragraph_formality,19102,0.4605502445401189,0,paragraph_clarity,paragraph_formality,0.46
